start;end;regione;comune
34607360;34607615;Lazio;Rome
34608640;34608895;Lombardia;Milan
34620928;34621439;Sicilia;Palermo
34623488;34623999;Lazio;Rome
34625024;34625535;Lombardia;Milan
34637568;34637823;Lazio;Rome
34640384;34640895;Sicilia;Palermo
34694400;34694655;Lazio;Rome
34700288;34701311;Lombardia;Milan
34704384;34705407;Lazio;Rome
34734080;34735103;Sicilia;Palermo
34742016;34742271;Sicilia;Palermo
34782976;34783231;Lombardia;Milan
34789376;34790399;Lombardia;Milan
34793472;34794495;Lombardia;Milan
34795520;34795775;Lombardia;Milan
34798592;34799615;Lombardia;Milan
34803712;34807807;Sicilia;Palermo
34831360;34831615;Lombardia;Milan
34845440;34845695;Lazio;Rome
34848768;34849023;Lombardia;Milan
34866176;34867199;Sicilia;Palermo
34868736;34869247;Lombardia;Milan
34877184;34877439;Sicilia;Palermo
34885632;34887679;Lombardia;Milan
34905088;34906111;Lombardia;Milan
34916352;34918399;Lombardia;Milan
34929664;34929919;Lombardia;Milan
34933504;34933759;Lazio;Rome
34933760;34934015;Lombardia;Milan
34934272;34934527;Lombardia;Milan
34972672;34973695;Lazio;Rome
34998272;34999295;Lombardia;Milan
35004416;35005439;Lombardia;Milan
35012096;35012351;Lombardia;Milan
35051520;35052543;Lombardia;Milan
35055616;35055871;Lombardia;Milan
35056128;35056383;Lombardia;Milan
35059712;35059967;Lombardia;Milan
35083264;35083519;Lombardia;Milan
35101440;35101695;Lombardia;Milan
35104256;35104511;Lombardia;Milan
35651584;35782911;Piemonte;Ivrea
35782912;35783167;Lombardia;Viadana
35783168;35783423;Lombardia;Milan
35783424;35783935;Piemonte;Torino
35783936;35784191;Lombardia;Milan
35784192;35784447;Lombardia;Brescia
35784448;35784703;Lombardia;Bergamo
35784704;35785215;Piemonte;Ivrea
35785216;35785471;Valle d'Aosta;Courmayeur
35785216;35785471;valle d aosta/vallée d aoste;Courmayeur
35785472;35785727;Piemonte;Ivrea
35785728;35785983;Liguria;San Remo
35785984;35786239;Liguria;Genova
35786240;35786751;Piemonte;Ivrea
35786752;35787519;Lombardia;Milan
35787520;35787775;Piemonte;Torino
35787776;35788031;Lombardia;Milan
35788032;35788287;Lombardia;Lonate Pozzolo
35788288;35788543;Lombardia;Milan
35788544;35788799;Emilia-Romagna;Piacenza
35788800;35789311;Liguria;Genova
35789312;35789567;Toscana;Pisa
35789568;35790079;Liguria;Genova
35790080;35790335;Toscana;Pisa
35790336;35790591;Liguria;San Remo
35790592;35790847;Liguria;Doria
35790848;35791103;Piemonte;Ivrea
35791104;35791359;Emilia-Romagna;Piacenza
35791360;35791615;Liguria;La Spezia
35791616;35791871;Piemonte;Torino
35791872;35792127;Lombardia;Milan
35792128;35792383;Piemonte;Ivrea
35792384;35793151;Lombardia;Milan
35793152;35793407;Piemonte;Torino
35793408;35793663;Lombardia;Milan
35793664;35793919;Lombardia;Voghera
35793920;35794175;Piemonte;Galliate
35794176;35794431;Lombardia;Milan
35794432;35794687;Lombardia;Cagnola
35794688;35795711;Lombardia;Milan
35795712;35795967;Piemonte;Torino
35795968;35796223;Toscana;Pisa
35796224;35796479;Lombardia;Cagnola
35796480;35796735;Liguria;La Spezia
35796736;35796991;Liguria;Genova
35796992;35797247;Piemonte;Torino
35797248;35797503;Lombardia;Milan
35797504;35798015;Piemonte;Ivrea
35798016;35798271;Liguria;La Spezia
35798272;35798527;Liguria;Genova
35798528;35798783;Piemonte;Galliate
35798784;35799039;Lombardia;Milan
35799040;35799295;Lombardia;Codogno
35799296;35800319;Lombardia;Milan
35800320;35800575;Liguria;La Spezia
35800576;35800831;Piemonte;Ivrea
35800832;35801855;Lombardia;Milan
35801856;35802111;Piemonte;Ivrea
35802112;35802623;Lombardia;Milan
35802624;35802879;Piemonte;Torino
35802880;35803135;Lombardia;Brescia
35803136;35803391;Lombardia;Cagnola
35803392;35803647;Lombardia;Milan
35803648;35803903;Piemonte;Ivrea
35803904;35804415;Lombardia;Milan
35804416;35804671;Lombardia;Cagnola
35804672;35804927;Emilia-Romagna;Piacenza
35804928;35805183;Liguria;Genova
35805184;35805439;Lombardia;Milan
35805440;35805695;Lombardia;Cremona
35805696;35805951;Lombardia;Milan
35805952;35806207;Lombardia;Cagnola
35806208;35806463;Lombardia;Milan
35806464;35806719;Liguria;Genova
35806720;35806975;Lombardia;Milan
35806976;35807231;Lombardia;Cagnola
35807232;35807743;Lombardia;Milan
35807744;35807999;Lombardia;Cagnola
35808000;35808255;Liguria;Genova
35808256;35808511;Liguria;Imperia
35808512;35809023;Lombardia;Milan
35809024;35809279;Piemonte;Galliate
35809280;35809535;Piemonte;Torino
35809536;35809791;Lombardia;Milan
35809792;35810047;Piemonte;Torino
35810048;35810303;Lombardia;Milan
35810304;35810559;Lombardia;Chiavenna
35810560;35810815;Piemonte;Torino
35810816;35811071;Piemonte;Galliate
35811072;35811327;Piemonte;Torino
35811328;35812095;Lombardia;Milan
35812096;35812351;Piemonte;Pozzolo Formigaro
35812352;35812607;Lombardia;Milan
35812608;35812863;Piemonte;Ivrea
35812864;35813119;Liguria;Genova
35813120;35813375;Lombardia;Brescia
35813376;35813887;Piemonte;Torino
35813888;35814143;Lombardia;Milan
35814144;35814399;Lombardia;Bergamo
35814400;35814911;Piemonte;Ivrea
35814912;35815167;Lombardia;Milan
35815168;35815423;Piemonte;Ivrea
35815424;35815679;Veneto;Mel
35815680;35815935;Veneto;Verona
35815936;35816191;Emilia-Romagna;Cortemaggiore
35816192;35816447;Friuli-Venezia Giulia;Pordenone
35816448;35816703;Umbria;Perugia
35816704;35816959;Emilia-Romagna;Bologna
35816960;35817215;Veneto;Padova
35817216;35817471;Veneto;Venice
35817472;35817727;Umbria;Campello sul Clitunno
35817728;35819519;Piemonte;Ivrea
35819520;35820287;Veneto;Padova
35820288;35820543;Veneto;Venice
35820544;35820799;Piemonte;Ivrea
35820800;35821055;Veneto;Padova
35821056;35821311;Umbria;Perugia
35821312;35821567;Emilia-Romagna;Modena
35821568;35821823;Emilia-Romagna;Bologna
35821824;35822079;Veneto;Padova
35822080;35822335;Emilia-Romagna;Ferrara
35822336;35822591;Marche;Cagli
35822592;35822847;Veneto;Venice
35822848;35823103;Veneto;Padova
35823104;35823359;Piemonte;Ivrea
